file,scene,blur_sigma,total_voxels,signal_voxels,percent_volume
JB-I-26-10_PEG-1.5mol_.lif,n1_t0_a,2.0,14680064,4584806,31.231512342180523
JB-I-26-10_PEG-1.5mol_.lif,n1_t0_b,2.0,15728640,6276327,39.903812408447266
JB-I-26-10_PEG-1.5mol_.lif,n1_t0_c,2.0,13631488,5438321,39.89528509286734
JB-I-26-10_PEG-1.5mol_.lif,n2_t0_a,2.0,17825792,7745382,43.4504228479722
JB-I-26-10_PEG-1.5mol_.lif,n2_t0_b,2.0,16777216,6626678,39.4980788230896
JB-I-26-10_PEG-1.5mol_.lif,n2_t0_c,2.0,16777216,7494929,44.67325806617737
JB-I-26-10_PEG-1.5mol_.lif,n3_t0_a,2.0,17825792,5908057,33.14330718096565
JB-I-26-10_PEG-1.5mol_.lif,n3_t0_b,2.0,16777216,6130815,36.54250502586365
JB-I-26-10_PEG-1.5mol_.lif,n3_t0_c,2.0,18874368,9182101,48.64852163526747
JB-I-26-10_PEG-1.5mol_.lif,n1_t1_a,2.0,13631488,7073160,51.88839252178485
JB-I-26-10_PEG-1.5mol_.lif,n1_t1_b,2.0,13631488,6323102,46.38599982628456
JB-I-26-10_PEG-1.5mol_.lif,n1_t1_c,2.0,12582912,6350087,50.46595732371012
JB-I-26-10_PEG-1.5mol_.lif,n2_t1_a,2.0,13631488,4998185,36.6664666395921
JB-I-26-10_PEG-1.5mol_.lif,n2_t1_b,2.0,12582912,6663367,52.95568307240804
JB-I-26-10_PEG-1.5mol_.lif,n2_t1_c,2.0,15728640,8548354,54.34897104899089
JB-I-26-10_PEG-1.5mol_.lif,n3_t1_a,2.0,13631488,7251152,53.19413405198318
JB-I-26-10_PEG-1.5mol_.lif,n3_t1_b,2.0,11534336,5928063,51.3949220830744
JB-I-26-10_PEG-1.5mol_.lif,n3_t1_c,2.0,12582912,5171715,41.10109806060791
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_a,2.0,13631488,5764621,42.28900762704703
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_b,2.0,11534336,5572570,48.31288077614524
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_c,2.0,11534336,5585858,48.42808463356712
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_d,2.0,12582912,5403237,42.94106960296631
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_40x,2.0,12582912,4882547,38.802997271219894
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_a,2.0,15728640,6777273,43.088741302490234
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_b,2.0,14680064,7073675,48.18558692932129
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_c,2.0,12582912,6233720,49.54115549723308
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_40x,2.0,9437184,1528513,16.196706559922962
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_40x_attempt2,2.0,9437184,4078530,43.21765899658203
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_a,2.0,14680064,8054320,54.86570085797992
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_b,2.0,14680064,4188936,28.53486197335379
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_c,2.0,13631488,6879588,50.468356792743386
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_40x,2.0,10485760,5390349,51.40637397766113
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_40x_attempt2,2.0,7340032,3312331,45.12692860194615
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_40x_attempt3,2.0,11534336,6226921,53.98595116355202
JB-I-31-10_PEG-10mol_.lif,n1-t0-a,2.0,11534336,7156689,62.046822634610265
JB-I-31-10_PEG-10mol_.lif,n1-t0-b,2.0,12582912,6369435,50.61972141265869
JB-I-31-10_PEG-10mol_.lif,n1-t0-c,2.0,11534336,4633137,40.168216011740945
JB-I-31-10_PEG-10mol_.lif,n2-t0-a,2.0,11534336,4798560,41.60239479758523
JB-I-31-10_PEG-10mol_.lif,n2-t0-b,2.0,13631488,5697451,41.7962514437162
JB-I-31-10_PEG-10mol_.lif,n2-t0-c,2.0,12582912,5238485,41.63173834482829
JB-I-31-10_PEG-10mol_.lif,n3-t0-a,2.0,11534336,4171751,36.16810711947354
