file,scene,threshold,signal_voxels,total_voxels,percent_volume
JB-I-26-10_PEG-1.5mol_.lif,n1_t0_a,186.0,142817,14680064,0.9728636060442244
JB-I-26-10_PEG-1.5mol_.lif,n1_t0_b,189.0,149962,15728640,0.9534327189127605
JB-I-26-10_PEG-1.5mol_.lif,n1_t0_c,186.0,133259,13631488,0.9775821979229268
JB-I-26-10_PEG-1.5mol_.lif,n2_t0_a,188.0,167236,17825792,0.9381686939912685
JB-I-26-10_PEG-1.5mol_.lif,n2_t0_b,182.0,167755,16777216,0.9998977184295654
JB-I-26-10_PEG-1.5mol_.lif,n2_t0_c,182.0,163486,16777216,0.9744524955749512
JB-I-26-10_PEG-1.5mol_.lif,n3_t0_a,159.0,178232,17825792,0.9998545927159926
JB-I-26-10_PEG-1.5mol_.lif,n3_t0_b,170.0,163834,16777216,0.9765267372131348
JB-I-26-10_PEG-1.5mol_.lif,n3_t0_c,187.0,177957,18874368,0.9428501129150391
JB-I-26-10_PEG-1.5mol_.lif,n1_t1_a,244.0,117217,13631488,0.8598987872783955
JB-I-26-10_PEG-1.5mol_.lif,n1_t1_b,236.0,131366,13631488,0.9636952326847957
JB-I-26-10_PEG-1.5mol_.lif,n1_t1_c,240.0,115884,12582912,0.9209632873535156
JB-I-26-10_PEG-1.5mol_.lif,n2_t1_a,214.0,129042,13631488,0.9466464702899638
JB-I-26-10_PEG-1.5mol_.lif,n2_t1_b,228.0,113074,12582912,0.8986314137776693
JB-I-26-10_PEG-1.5mol_.lif,n2_t1_c,226.0,152032,15728640,0.9665934244791667
JB-I-26-10_PEG-1.5mol_.lif,n3_t1_a,207.0,128613,13631488,0.9434993450458232
JB-I-26-10_PEG-1.5mol_.lif,n3_t1_b,237.0,103252,11534336,0.8951707319779829
JB-I-26-10_PEG-1.5mol_.lif,n3_t1_c,221.0,122771,12582912,0.9756962458292643
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_a,163.0,125484,13631488,0.9205451378455529
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_b,155.0,112776,11534336,0.9777415882457386
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_c,162.0,114425,11534336,0.9920380332253197
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_d,172.0,125357,12582912,0.996247927347819
JB-I-26-10_PEG-1.5mol_.lif,n1_t2_40x,21.0,92159,12582912,0.73241392771403
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_a,160.0,145031,15728640,0.922082265218099
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_b,152.0,136504,14680064,0.9298597063337053
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_c,166.0,121994,12582912,0.9695212046305338
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_40x,41.0,82369,9437184,0.8728133307562934
JB-I-26-10_PEG-1.5mol_.lif,n2_t2_40x_attempt2,45.0,73872,9437184,0.78277587890625
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_a,136.0,139399,14680064,0.9495803288051061
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_b,141.0,144852,14680064,0.9867259434291296
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_c,151.0,122184,13631488,0.8963364821213942
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_40x,122.0,93321,10485760,0.8899784088134766
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_40x_attempt2,144.0,66749,7340032,0.9093829563685827
JB-I-26-10_PEG-1.5mol_.lif,n3_t2_40x_attempt3,186.0,113389,11534336,0.9830561551180753
JB-I-31-10_PEG-10mol_.lif,n1-t0-a,119.0,108473,11534336,0.9404355829412286
JB-I-31-10_PEG-10mol_.lif,n1-t0-b,122.0,119550,12582912,0.9500980377197266
JB-I-31-10_PEG-10mol_.lif,n1-t0-c,118.0,111465,11534336,0.9663755243474786
JB-I-31-10_PEG-10mol_.lif,n2-t0-a,117.0,109036,11534336,0.9453166614879261
JB-I-31-10_PEG-10mol_.lif,n2-t0-b,116.0,127198,13631488,0.9331189669095553
JB-I-31-10_PEG-10mol_.lif,n2-t0-c,119.0,115986,12582912,0.9217739105224609
JB-I-31-10_PEG-10mol_.lif,n3-t0-a,117.0,115112,11534336,0.9979941628196022
JB-I-31-10_PEG-10mol_.lif,n3-t0-b,115.0,135746,13631488,0.9958267211914062
JB-I-31-10_PEG-10mol_.lif,n3-t0-c,116.0,120640,12582912,0.9587605794270834
JB-I-31-10_PEG-10mol_.lif,n4-t0-a,142.0,117171,12582912,0.9311914443969727
JB-I-31-10_PEG-10mol_.lif,n4-t0-b,135.0,107734,11534336,0.9340286254882812
JB-I-31-10_PEG-10mol_.lif,n4-t0-c,142.0,119282,12582912,0.9479681650797526
JB-I-31-10_PEG-10mol_.lif,n2-t1-a,151.0,110273,11534336,0.9560411626642401
JB-I-31-10_PEG-10mol_.lif,n2-t1-b,148.0,125606,12582912,0.9982268015543619
JB-I-31-10_PEG-10mol_.lif,n2-t1-c,141.0,122898,12582912,0.9767055511474609
JB-I-31-10_PEG-10mol_.lif,n3-t1-a,162.0,107487,11534336,0.9318871931596235
JB-I-31-10_PEG-10mol_.lif,n3-t1-b,145.0,118709,12582912,0.9434143702189127
JB-I-31-10_PEG-10mol_.lif,n3-t1-c,144.0,111481,11534336,0.9665142406116832
JB-I-31-10_PEG-10mol_.lif,n3-t1-d,149.0,122886,12582912,0.9766101837158203
JB-I-31-10_PEG-10mol_.lif,n4-t1-a,183.0,121941,12582912,0.9690999984741211
JB-I-31-10_PEG-10mol_.lif,n4-t1-b,177.0,109829,11534336,0.952191786332564
JB-I-31-10_PEG-10mol_.lif,n4-t1-c,174.0,113055,11534336,0.9801604531028053
JB-I-31-10_PEG-10mol_.lif,n2-t2-a,189.0,153358,15728640,0.9750239054361979
JB-I-31-10_PEG-10mol_.lif,n2-t2-b,169.0,134762,13631488,0.9886081402118388
JB-I-31-10_PEG-10mol_.lif,n2-t2-c,192.0,121124,12582912,0.9626070658365885
JB-I-31-10_PEG-10mol_.lif,n2-t2-40x-1,29.0,75454,9437184,0.7995393541124132
JB-I-31-10_PEG-10mol_.lif,n2-t2-40-2,44.0,96801,10485760,0.9231662750244141
JB-I-31-10_PEG-10mol_.lif,n3-t2-a,134.0,146048,14680064,0.994873046875
JB-I-31-10_PEG-10mol_.lif,n3-t2-b,138.0,140678,14680064,0.9582928248814173
JB-I-31-10_PEG-10mol_.lif,n3-t2-c,109.0,114477,11534336,0.9924888610839844
JB-I-31-10_PEG-10mol_.lif,n3-t2-40x,145.0,111054,11534336,0.9628122503107245
JB-I-31-10_PEG-10mol_.lif,n3-t2-40x-2,186.0,93679,9437184,0.9926584031846788
JB-I-31-10_PEG-10mol_.lif,n3-t2-40-3,126.0,71162,7340032,0.9695053100585938
JB-I-31-10_PEG-10mol_.lif,n4-t2-a,132.0,124616,12582912,0.9903589884440104
JB-I-31-10_PEG-10mol_.lif,n4-t2-b,129.0,122490,12582912,0.9734630584716797
JB-I-31-10_PEG-10mol_.lif,n4-t2-c,132.0,117249,12582912,0.9318113327026367
JB-I-31-10_PEG-10mol_.lif,n4-t2-40x,130.0,82247,8388608,0.9804606437683105
JB-I-31-10_PEG-10mol_.lif,n4-t2-40x-2,158.0,70999,7340032,0.9672846112932478
JW-30-10_PEG-0mol_.lif,n1-t0-a,41.0,114305,13631488,0.8385364825908955
JW-30-10_PEG-0mol_.lif,n1-t0-b,51.0,114412,14680064,0.7793698992047992
JW-30-10_PEG-0mol_.lif,n1-t0-c,55.0,148087,15728640,0.9415117899576824
JW-30-10_PEG-0mol_.lif,n2-t0-a,42.0,125155,13631488,0.918131608229417
JW-30-10_PEG-0mol_.lif,n2-t0-b,43.0,149603,19922944,0.750908098722759
JW-30-10_PEG-0mol_.lif,n2-t0-c,43.0,201791,25165824,0.80184539159139
JW-30-10_PEG-0mol_.lif,n3-t0-a,45.0,140771,17825792,0.7897040423224955
JW-30-10_PEG-0mol_.lif,n3-t0-b,48.0,103636,12582912,0.8236249287923177
JW-30-10_PEG-0mol_.lif,n3-t0-c,48.0,103083,12582912,0.8192300796508789
JW-30-10_PEG-0mol_.lif,n3-t0-d,48.0,162979,16777216,0.9714305400848389
JW-30-10_PEG-0mol_.lif,n1-t1-a,159.0,123645,13631488,0.9070543142465445
JW-30-10_PEG-0mol_.lif,n1-t1-b,153.0,113247,11534336,0.9818250482732599
JW-30-10_PEG-0mol_.lif,n1-t1-c,180.0,106702,11534336,0.925081426447088
JW-30-10_PEG-0mol_.lif,n2-t2-a,67.0,114060,11534336,0.9888735684481534
JW-30-10_PEG-0mol_.lif,n2-t2-b,68.0,94895,11534336,0.8227174932306464
JW-30-10_PEG-0mol_.lif,n2-t2-c,66.0,104874,12582912,0.8334636688232422
JW-30-10_PEG-0mol_.lif,n3-t2-a,55.0,99854,11534336,0.8657108653675426
JW-30-10_PEG-0mol_.lif,n3-t2-b,48.0,179636,19922944,0.9016538921155427
JW-30-10_PEG-0mol_.lif,n3-t2-c,52.0,182301,23068672,0.7902535525235262
JW-30-10_PEG-0mol_.lif,n1-t3-a,80.0,122929,12582912,0.9769519170125326
JW-30-10_PEG-0mol_.lif,n1-t3-b,91.0,114945,12582912,0.9135007858276367
JW-30-10_PEG-0mol_.lif,n1-t3-c,69.0,121140,12582912,0.9627342224121094
JW-30-10_PEG-0mol_.lif,n1-t3-d,84.0,106942,12582912,0.8498986562093099
JW-30-10_PEG-0mol_.lif,n1-t3-40x,71.0,156779,15728640,0.9967740376790364
JW-30-10_PEG-0mol_.lif,n2-t3-a,75.0,95699,12582912,0.7605473200480144
JW-30-10_PEG-0mol_.lif,n2-t3-b,60.0,104940,11534336,0.9098052978515625
JW-30-10_PEG-0mol_.lif,n2-t3-c,56.0,161747,16777216,0.9640872478485107
JW-30-10_PEG-0mol_.lif,n2-t3-40x-a,26.0,180305,19922944,0.9050118295769942
JW-30-10_PEG-0mol_.lif,n2-t3-40x-b,35.0,119907,13631488,0.8796325096717248
JW-30-10_PEG-0mol_.lif,n3-t3-a,34.0,140306,17825792,0.7870954625746783
JW-30-10_PEG-0mol_.lif,n3-t3-b,17.0,27014,4194304,0.6440639495849609
JW-30-10_PEG-0mol_.lif,n3-t3-c,34.0,117144,14680064,0.7979801722935267
JW-30-10_PEG-0mol_.lif,n3-t3-40x,54.0,117386,14680064,0.7996286664690291
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t0_a,205.0,99782,10485760,0.9515953063964845
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t0_b,225.0,68666,7340032,0.9355000087193079
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t0_c,194.0,109934,11534336,0.9531021118164062
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t0_a,179.0,87795,9437184,0.9303092956542969
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t0_b,166.0,80566,8388608,0.9604215621948242
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t0_c,172.0,78849,8388608,0.9399533271789551
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t0_a,179.0,88881,9437184,0.9418169657389323
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t0_b,178.0,78090,8388608,0.9309053421020508
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t0_c,174.0,99747,10485760,0.9512615203857423
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t1_a,179.0,92796,9437184,0.9833017985026041
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t1_b,200.0,133482,13631488,0.9792181161733774
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t1_c,193.0,102405,10485760,0.9766101837158203
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t1_a,200.0,83358,8388608,0.9937047958374023
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t1_b,202.0,92482,9437184,0.9799745347764757
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t1_c,212.0,83417,8388608,0.994408130645752
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t1_a,181.0,80735,8388608,0.9624361991882324
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t1_b,190.0,88987,9437184,0.942940182156033
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t1_c,190.0,88394,9437184,0.9366565280490451
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t2_a,162.0,103736,10485760,0.9893035888671875
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t2_b,167.0,93521,9437184,0.9909841749403212
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t2_c,183.0,128092,13631488,0.9396773118239183
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t2_40x,60.0,133393,13631488,0.9785652160644531
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t2_a,146.0,91382,9437184,0.9683185153537326
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t2_b,139.0,118814,12582912,0.9442488352457682
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t2_c,172.0,144636,14680064,0.9852545601981026
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t2_40x,56.0,162358,17825792,0.910803850959329
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t2_a,159.0,119997,12582912,0.9536504745483398
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t2_b,164.0,100849,10485760,0.9617710113525391
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t2_c,130.0,83815,8388608,0.999152660369873
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t2_40x,104.0,250801,27262976,0.919932585496169
